longitude,latitude,environment.2021_land_distance,environment.2021_mean_depth,environment.2021_net_primary_production,environment.2021_sea.bottom_dissolved_oxygen,fishing.activity.2021_total_fishing,species.richness.2021,stocks.richness.2021,thermohalinity_2021,clusterid
13.22,45.53,2.473778614,3.417301495,3.510985487,2.643073718,-0.086665506,0.767317836,0.795487654,-2.226367793,3.0
12.72,45.03,-0.25242392,2.31502074,11.29632759,1.350242922,5.584382494,0.499598443,0.889694323,-1.037546654,0.0
13.22,45.03,-0.362189449,0.988201215,3.532306684,1.681345482,3.692677234,0.81387773,1.219417664,-1.289776466,0.0
14.22,45.03,2.875893494,1.367748141,-0.215608703,2.552148751,0.13450067,0.464678522,0.607074316,-0.987558869,13.0
12.72,44.53,-0.25242392,2.866161175,16.55602135,1.29472469,3.546434335,0.359918759,0.701280985,-0.473783241,0.0
13.22,44.53,-0.376655944,1.082206677,2.369785149,2.184919383,1.777088077,0.767317836,1.125210995,-1.104917108,0.0
13.72,44.53,0.865319125,1.970557924,0.897939076,2.276026432,1.550798445,1.075777136,1.172314329,-1.354038583,0.0
14.22,44.53,0.865319125,4.591470244,0.112507333,2.437538241,-0.012692451,0.83133769,0.936797657,-1.320360947,3.0
14.72,44.53,0.865319125,4.188898105,0.042221471,2.343599398,-0.166559102,0.778957809,0.889694323,-1.148511174,3.0
8.22,44.03,5.047313825,-0.137698381,0.281678876,-0.437524373,-0.1375277,1.465716252,1.031004326,-0.811049009,13.0
8.72,44.03,0.959934366,-0.315827468,0.267241103,-0.319675439,0.737091143,2.006975024,1.502037671,-0.593189247,1.0
9.22,44.03,1.324878959,-0.268193262,0.25075559,-0.448065288,3.177065449,2.041894945,1.549141005,-0.639354326,1.0
9.72,44.03,4.082238132,0.155913944,0.963547274,1.700247541,0.780644845,1.256196727,1.219417664,-1.350720112,13.0
12.72,44.03,0.865319125,6.36752367,7.333730922,2.258065677,3.915787513,0.883717572,0.65417765,-1.194156673,3.0
13.22,44.03,-0.371957424,1.921348967,1.522443678,2.19365463,0.794549966,0.528698377,0.889694323,-0.817028524,6.0
13.72,44.03,-0.438379638,1.488310144,0.321914936,1.98982289,0.796935243,0.132939274,0.607074316,-0.94345696,6.0
14.22,44.03,-0.381237004,2.526997839,0.037033549,2.029743919,0.275398042,0.243519023,0.701280985,-1.19449755,6.0
14.72,44.03,0.704473162,8.462356047,-0.01731592,2.300936373,-0.202706432,1.209636833,1.407831002,-1.525098721,3.0
15.22,44.03,1.669548855,5.346292962,0.128088444,2.130108817,0.825736482,1.12233703,1.07810766,-2.044963355,3.0
7.22,43.53,2.875893494,-0.281040693,0.832481912,-0.262504229,-0.319873668,1.954595143,1.313624333,-0.746650803,1.0
7.72,43.53,1.324878959,-0.359460675,0.502177191,-0.289573978,0.646286395,1.779995539,1.407831002,-0.652775008,1.0
8.22,43.53,0.780663351,-0.372957751,0.444284203,-0.034784434,-0.189657493,1.436616318,1.313624333,-0.661470187,1.0
8.72,43.53,-0.367136871,-0.383974067,0.513187076,0.057818756,-0.423540125,-0.070760264,-0.052372367,-0.544432684,8.0
9.22,43.53,-0.424983567,-0.341927532,0.472621055,-0.255891227,-0.279769261,0.965197387,1.266520998,-0.498635813,2.0
9.72,43.53,-0.260602531,-0.120073341,0.545400987,0.547126618,1.558424667,1.704335711,1.549141005,-0.765456348,1.0
10.22,43.53,1.483957386,0.988201215,1.073372588,2.008352534,1.624389403,1.174716912,1.125210995,-2.2086722,0.0
13.72,43.53,0.780663351,2.021860956,1.21580676,2.025225369,3.844176868,1.267836701,1.313624333,-0.957556082,0.0
14.22,43.53,-0.371957424,1.521004929,0.111810536,2.01520375,2.282073052,0.272618957,0.842590988,-0.979596727,6.0
14.72,43.53,-0.381237004,2.526997839,-0.257754186,2.258050595,0.13608741,0.039819485,0.701280985,-1.174708854,6.0
15.22,43.53,0.704473162,3.29285053,-0.252952809,2.116349963,0.616094341,1.326036569,1.454934336,-1.382066052,3.0
15.72,43.53,1.483957386,2.189761566,-0.060599771,1.889698923,1.81742464,1.390056423,1.454934336,-1.695983918,0.0
3.22,43.03,2.152086716,3.066575784,2.282382203,2.321100505,0.803155129,1.407516384,1.031004326,-2.085726982,3.0
3.72,43.03,0.865319125,1.396453386,1.740146557,2.125188652,1.444423856,1.390056423,0.983900991,-1.668884089,0.0
4.22,43.03,-0.139968088,1.189452274,3.942566043,1.974577835,2.608904423,1.471536239,1.219417664,-1.437725562,0.0
4.72,43.03,0.780663351,1.166811547,8.343126951,1.416598288,1.103934127,1.192176872,0.889694323,-1.335952066,0.0
5.22,43.03,1.187011023,0.02227662,2.281361938,1.328291685,-0.147610289,1.873115328,1.266520998,-1.492749458,1.0
5.72,43.03,3.392898338,0.037580968,0.948826828,0.496966962,-0.037089318,1.599575948,1.07810766,-1.785387703,13.0
6.22,43.03,4.082238132,0.716713534,0.948630211,1.131974451,-0.41908618,1.733435645,1.07810766,-1.705578162,13.0
6.72,43.03,1.066376551,-0.287990733,0.295822987,-0.424967193,-0.420524285,2.059354906,1.454934336,-0.735032151,1.0
7.22,43.03,-0.371957424,-0.386266866,0.471495671,-0.017930906,-0.423131903,0.039819485,0.23024764,-0.554890969,8.0
7.72,43.03,-0.424983567,-0.393766206,0.419577392,0.121164459,-0.424595365,-0.577099116,-0.570509046,-0.57083709,12.0
8.22,43.03,-0.441554225,-0.395873128,0.42513583,0.121752103,-0.426954683,-0.582919102,-0.476302377,-0.530857149,10.0
8.72,43.03,-0.385704947,-0.39322767,0.542185995,0.095322299,-0.426885834,-0.501439287,-0.476302377,-0.542205588,10.0
9.22,43.03,0.704473162,-0.346277138,0.492932361,-0.065988165,-0.415499145,1.727615658,1.454934336,-0.568586376,1.0
9.72,43.03,-0.371957424,-0.048344026,0.323711529,0.052752926,0.027901499,1.442436305,1.502037671,-0.676479333,2.0
10.22,43.03,0.704473162,0.61149581,0.554309275,1.609479808,0.266743245,1.483176212,1.454934336,-1.240199078,1.0
14.22,43.03,-0.268512987,1.554827015,0.169247037,2.297510513,4.265477878,0.546158337,0.983900991,-0.976843821,0.0
14.72,43.03,-0.456484246,1.312947231,-0.361366614,1.930401502,1.044685417,-0.146420092,0.512867647,-0.9579416,6.0
15.22,43.03,-0.385704947,0.565748968,-0.386360564,1.381381197,1.352683515,0.208599103,0.936797657,-0.820541978,6.0
15.72,43.03,0.704473162,1.456687339,-0.378334939,1.770581772,1.722811408,0.848797651,1.266520998,-0.931744808,0.0
16.22,43.03,0.780663351,1.261369897,-0.125175683,2.175691455,1.628189296,1.547196067,1.454934336,-1.312406764,1.0
16.72,43.03,1.187011023,3.845966291,0.069299841,2.029749189,-0.089838011,1.343496529,1.454934336,-1.105991703,3.0
17.22,43.03,3.392898338,1.663672942,0.963180296,2.075578882,-0.200472965,1.128157017,1.172314329,-1.949313414,13.0
3.22,42.53,0.780663351,1.312947231,1.203671961,2.012503143,0.647921878,1.413336371,1.07810766,-1.561291529,1.0
3.72,42.53,-0.268512987,-0.040198628,0.64109142,0.836494752,0.376680985,0.720757941,0.795487654,-1.208925719,2.0
4.22,42.53,-0.447709044,-0.266111919,1.252066942,0.084829156,-0.194998392,0.464678522,0.607074316,-1.018996026,5.0
4.72,42.53,-0.424983567,-0.34276294,1.69045261,-0.175061604,-0.364359622,0.499598443,0.65417765,-0.90614014,5.0
5.22,42.53,-0.424983567,-0.374430884,0.437849565,-0.230917024,-0.422830172,-0.030020356,0.371557643,-0.818729949,5.0
5.72,42.53,-0.424983567,-0.387467779,0.481347421,-0.140804864,-0.425306211,0.004899565,0.041834302,-0.773970148,8.0
6.22,42.53,-0.424983567,-0.389717176,0.54278351,0.255089708,-0.425842463,0.371558733,0.559970981,-0.73514379,5.0
6.72,42.53,-0.441554225,-0.395060752,0.443337304,0.086066934,-0.427079103,-0.46069938,-0.334992374,-0.620090117,10.0
7.22,42.53,-0.479937931,-0.397268136,0.432544506,0.181621446,-0.425396579,-0.635298984,-0.476302377,-0.568789663,10.0
7.72,42.53,-0.507756083,-0.397957249,0.376268849,0.194934776,-0.427091013,-0.594559076,-0.570509046,-0.485185398,12.0
8.22,42.53,-0.390063914,-0.397446606,0.351692077,0.139208294,-0.42709977,-0.466519366,-0.523405712,-0.410250183,10.0
9.72,42.53,0.704473162,-0.11738668,0.294942635,0.266226482,0.146710049,2.082634853,1.549141005,-0.550463012,1.0
10.22,42.53,0.780663351,0.694019567,0.225082153,1.549747565,0.229820659,1.931315196,1.502037671,-1.055462285,1.0
10.72,42.53,0.959934366,0.661599549,0.338298286,1.883021134,2.551266172,1.512276146,1.454934336,-1.498106466,0.0
14.22,42.53,0.780663351,2.021860956,0.623841575,2.21463756,6.277139703,1.337676542,1.502037671,-1.281475488,0.0
14.72,42.53,-0.376655944,0.423046233,-0.182613565,1.317086297,3.428023404,0.470498509,1.07810766,-0.800097531,0.0
15.22,42.53,-0.441554225,0.905126653,-0.291280906,1.057134794,2.278196631,0.127119287,0.795487654,-0.794591777,6.0
15.72,42.53,-0.441554225,3.845966291,-0.357863748,1.517838694,1.305366337,-0.117320158,0.559970981,-0.922332777,6.0
16.22,42.53,-0.390063914,1.261369897,-0.393474685,1.835658284,1.573538975,0.004899565,0.842590988,-1.028328968,6.0
16.72,42.53,0.780663351,1.367748141,-0.308904877,2.027247487,0.471773052,1.279476674,1.407831002,-1.21718784,1.0
17.22,42.53,0.704473162,0.803829256,9.39017E-4,1.879261111,0.35920242,1.727615658,1.502037671,-1.180007013,1.0
17.72,42.53,1.187011023,0.557072904,0.576213777,1.907999949,0.150214685,1.762535579,1.502037671,-1.593859854,1.0
18.22,42.53,5.047313825,0.84531295,0.948138707,1.527101579,0.319122955,0.9593774,1.125210995,-1.642976194,13.0
3.22,42.03,1.483957386,0.752509211,0.422880702,0.939929843,2.07354172,1.582115988,1.07810766,-1.312063018,1.0
3.72,42.03,-0.276168285,-0.308859604,0.454964707,-0.159858622,-0.022998149,0.499598443,0.795487654,-0.972983656,5.0
4.22,42.03,-0.462050378,-0.379925731,0.360455423,-0.142412987,-0.42709977,-0.617839023,-0.617612381,-0.885537345,12.0
4.72,42.03,-0.542082967,-0.386343486,0.311832483,-0.090211424,-0.42709977,-0.62365901,-0.570509046,-0.884083909,12.0
5.22,42.03,-0.544837168,-0.387638495,0.337571568,-0.046403658,-0.42709977,-0.577099116,-0.476302377,-0.824679768,10.0
5.72,42.03,-0.544837168,-0.393051862,0.402401571,0.074534829,-0.42709977,-0.559639155,-0.429199043,-0.733572351,10.0
6.22,42.03,-0.544837168,-0.395663987,0.399487508,0.175316895,-0.42709977,-0.594559076,-0.664715715,-0.626799994,12.0
6.72,42.03,-0.551403485,-0.39717022,0.37968348,0.196298987,-0.42709977,-0.582919102,-0.664715715,-0.526575082,12.0
7.22,42.03,-0.562188698,-0.398502266,0.356473304,0.202729175,-0.42709977,-0.60619905,-0.71181905,-0.461924615,12.0
7.72,42.03,-0.509654339,-0.398958395,0.337779845,0.21474659,-0.42709977,-0.635298984,-0.71181905,-0.38353805,12.0
8.22,42.03,-0.390063914,-0.394477888,0.289047742,0.087475542,-0.42709977,-0.396679525,-0.523405712,-0.269186826,10.0
8.72,42.03,2.875893494,-0.209664383,0.267446325,0.049036309,-0.426934327,1.704335711,1.172314329,-0.510257849,1.0
9.72,42.03,0.780663351,-0.183482491,0.287564682,-0.298452709,-0.145828724,2.041894945,1.549141005,-0.57178723,1.0
10.22,42.03,-0.390063914,-0.109049502,0.177053602,-0.049892872,0.002963027,1.308576608,1.454934336,-0.596585302,2.0
10.72,42.03,0.704473162,-0.256967805,0.119763449,0.090362422,0.671804011,1.820735447,1.502037671,-0.507979482,1.0
11.22,42.03,0.780663351,0.126669122,0.178655685,1.388369093,2.953469009,2.006975024,1.643347674,-1.115462663,1.0
11.72,42.03,2.473778614,0.515843375,0.327546393,2.051002987,2.981884851,1.157256951,0.889694323,-1.76841909,0.0
15.22,42.03,0.704473162,1.663672942,-0.079352277,1.802900673,3.714822144,1.133977004,1.360727667,-0.933023917,0.0
15.72,42.03,-0.376655944,1.286773672,-0.167898188,1.802937222,2.845586345,0.453038548,0.983900991,-0.929693643,0.0
16.22,42.03,-0.444663381,0.874540064,-0.25027762,1.798999518,1.603983934,0.284258931,0.983900991,-0.88976232,6.0
16.72,42.03,-0.444663381,0.168473877,-0.314791607,1.34086183,0.854099016,0.604358205,1.07810766,-0.906156067,2.0
17.22,42.03,-0.444663381,-0.290174853,-0.320588625,1.162368771,-0.02298049,0.662558073,1.172314329,-0.717880199,2.0
17.72,42.03,-0.444663381,-0.327433245,-0.266393772,1.193574693,-0.154665855,0.487958469,1.125210995,-0.64936094,2.0
18.22,42.03,-0.371957424,-0.274865412,-0.101670098,1.28967709,-0.006705281,1.075777136,1.360727667,-0.815684395,2.0
